CCAA,DELITO,EDAD,SEXO,ANYO,FRECUENCIA
ARAGON,    ACCESO  E INTERCEPTACION ILICITA,De 14 a 17 anyos,Masculino,2012,6
ARAGON,    AMENAZAS Y COACCIONES,De 14 a 17 anyos,Masculino,2012,5
ARAGON,    CONTRA EL HONOR,De 14 a 17 anyos,Masculino,2012,0
ARAGON,    CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL,De 14 a 17 anyos,Masculino,2012,0
ARAGON,    DELITOS SEXUALES,De 14 a 17 anyos,Masculino,2012,0
ARAGON,    FALSIFICACION INFORMATICA,De 14 a 17 anyos,Masculino,2012,1
ARAGON,    FRAUDE INFORMATICO,De 14 a 17 anyos,Masculino,2012,0
ARAGON,    INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA,De 14 a 17 anyos,Masculino,2012,0
ASTURIAS (PRINCIPADO DE),    ACCESO  E INTERCEPTACION ILICITA,De 14 a 17 anyos,Masculino,2012,1
ASTURIAS (PRINCIPADO DE),    AMENAZAS Y COACCIONES,De 14 a 17 anyos,Masculino,2012,2
ASTURIAS (PRINCIPADO DE),    CONTRA EL HONOR,De 14 a 17 anyos,Masculino,2012,0
ASTURIAS (PRINCIPADO DE),    CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL,De 14 a 17 anyos,Masculino,2012,0
ASTURIAS (PRINCIPADO DE),    DELITOS SEXUALES,De 14 a 17 anyos,Masculino,2012,3
ASTURIAS (PRINCIPADO DE),    FALSIFICACION INFORMATICA,De 14 a 17 anyos,Masculino,2012,0
ASTURIAS (PRINCIPADO DE),    FRAUDE INFORMATICO,De 14 a 17 anyos,Masculino,2012,2
ASTURIAS (PRINCIPADO DE),    INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA,De 14 a 17 anyos,Masculino,2012,0
BALEARS (ILLES),    ACCESO  E INTERCEPTACION ILICITA,De 14 a 17 anyos,Masculino,2012,0
BALEARS (ILLES),    AMENAZAS Y COACCIONES,De 14 a 17 anyos,Masculino,2012,3
BALEARS (ILLES),    CONTRA EL HONOR,De 14 a 17 anyos,Masculino,2012,0
BALEARS (ILLES),    CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL,De 14 a 17 anyos,Masculino,2012,0
BALEARS (ILLES),    DELITOS SEXUALES,De 14 a 17 anyos,Masculino,2012,0
BALEARS (ILLES),    FALSIFICACION INFORMATICA,De 14 a 17 anyos,Masculino,2012,0
BALEARS (ILLES),    FRAUDE INFORMATICO,De 14 a 17 anyos,Masculino,2012,0
BALEARS (ILLES),    INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA,De 14 a 17 anyos,Masculino,2012,0
CANARIAS,    ACCESO  E INTERCEPTACION ILICITA,De 14 a 17 anyos,Masculino,2012,2
CANARIAS,    AMENAZAS Y COACCIONES,De 14 a 17 anyos,Masculino,2012,6
CANARIAS,    CONTRA EL HONOR,De 14 a 17 anyos,Masculino,2012,1
CANARIAS,    CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL,De 14 a 17 anyos,Masculino,2012,0
CANARIAS,    DELITOS SEXUALES,De 14 a 17 anyos,Masculino,2012,5
CANARIAS,    FALSIFICACION INFORMATICA,De 14 a 17 anyos,Masculino,2012,0
CANARIAS,    FRAUDE INFORMATICO,De 14 a 17 anyos,Masculino,2012,1
CANARIAS,    INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA,De 14 a 17 anyos,Masculino,2012,0
CANTABRIA,    ACCESO  E INTERCEPTACION ILICITA,De 14 a 17 anyos,Masculino,2012,0
CANTABRIA,    AMENAZAS Y COACCIONES,De 14 a 17 anyos,Masculino,2012,0
CANTABRIA,    CONTRA EL HONOR,De 14 a 17 anyos,Masculino,2012,0
CANTABRIA,    CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL,De 14 a 17 anyos,Masculino,2012,0
CANTABRIA,    DELITOS SEXUALES,De 14 a 17 anyos,Masculino,2012,0
CANTABRIA,    FALSIFICACION INFORMATICA,De 14 a 17 anyos,Masculino,2012,0
CANTABRIA,    FRAUDE INFORMATICO,De 14 a 17 anyos,Masculino,2012,0
CANTABRIA,    INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA,De 14 a 17 anyos,Masculino,2012,0
CASTILLA Y LEON,    ACCESO  E INTERCEPTACION ILICITA,De 14 a 17 anyos,Masculino,2012,1
CASTILLA Y LEON,    AMENAZAS Y COACCIONES,De 14 a 17 anyos,Masculino,2012,3
CASTILLA Y LEON,    CONTRA EL HONOR,De 14 a 17 anyos,Masculino,2012,1
CASTILLA Y LEON,    CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL,De 14 a 17 anyos,Masculino,2012,0
CASTILLA Y LEON,    DELITOS SEXUALES,De 14 a 17 anyos,Masculino,2012,1
CASTILLA Y LEON,    FALSIFICACION INFORMATICA,De 14 a 17 anyos,Masculino,2012,0
CASTILLA Y LEON,    FRAUDE INFORMATICO,De 14 a 17 anyos,Masculino,2012,2
CASTILLA Y LEON,    INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA,De 14 a 17 anyos,Masculino,2012,0
CASTILLA - LA MANCHA,    ACCESO  E INTERCEPTACION ILICITA,De 14 a 17 anyos,Masculino,2012,3
CASTILLA - LA MANCHA,    AMENAZAS Y COACCIONES,De 14 a 17 anyos,Masculino,2012,3
